Record Count,Loaded to Repository,Survey,Year,Stratum,Stratum INPFC Area,Stratum Min Depth (m),Stratum Max Depth (m),Stratum Description,Stratum Regulatory Area Name,Stratum Type,Species Code,Common Name,Scientific Name,Haul Count,Catch Count,Mean Weight CPUE (kg/km2),Var Weight CPUE,Mean Number CPUE (number/km2),Var Number CPUE,Stratum Biomass (mt),Stratum Biomass Var,Min Stratum Biomass (lower 95% CL),Max Stratum Biomass (upper 95% CL),Stratum Population (number),Stratum Population Var,Min Stratum Population (lower 95% CL),Max Stratum Population (upper 95% CL)
1,2018-09-24 11:58:41,GOA,1984,10,Shumagin,1,100,Fox Islands,WESTERN GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,15,11,759.1,117856.114159012,1616.1,505407.544333867,6325.8,8183243.73685175,189.7,12461.8,13466866,35092563090512.2,760105,26173626
1,2018-09-24 11:58:41,GOA,1984,11,Shumagin,1,100,Davidson Bank,WESTERN GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,52,32,452.6,13031.1464223166,1161.6,88431.2146440415,6191.7,2439122.49271092,3035.4,9348,15892450,16552232451830.8,7670125,24114774
1,2018-09-24 11:58:41,GOA,1984,12,Shumagin,1,100,Lower Alaska Peninsula,WESTERN GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,12,8,66.4,1027.45356960918,400.6,23877.5345001069,456.7,48574.8627434399,0,941.8,2754368,1128856811929.35,415857,5092880
1,2018-09-24 11:58:41,GOA,1984,13,Shumagin,1,100,Shumagin Bank,WESTERN GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,21,15,505.5,87753.8131241763,1206,332309.209555579,6267.9,13490390.9419474,0,13929.7,14953432,51085884372575.5,43874,29862990
1,2018-09-24 11:58:41,GOA,1984,20,Chirikof,1,100,Upper Alaska Peninsula,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,9,7,816.3,155718.037380974,2065.9,798148.958609675,6481.9,9819132.60214095,0,13707.9,16404785,50328983030238.7,45347,32764223
1,2018-09-24 11:58:41,GOA,1984,21,Chirikof,1,100,Semidi Bank,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,16,7,822.7,230321.050201096,2414.8,1795121.18492308,6007.4,12280824.333211,0,13475.3,17633081,95716687248593.5,0,38481700
1,2018-09-24 11:58:41,GOA,1984,22,Chirikof,1,100,Chirikof Bank,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,19,11,3420.1,4638783.20299974,7686.6,15614458.1809702,36909.8,540267589.425164,0,85744.7,82954340,1818577267451850,0,172551023
1,2018-09-24 11:58:41,GOA,1984,30,Kodiak,1,100,Albatross Shallows,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,8,7,2396.8,1146259.91950048,3922.6,3629361.39050101,13820,38110415.2628642,0,28420,22618070,120667631640889,0,48597315
1,2018-09-24 11:58:41,GOA,1984,31,Kodiak,1,100,Albatross Banks,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,49,23,617,67287.6184012389,1249.7,218736.586143161,9504.1,15964454.2737894,1429.1,17579.1,19249666,51896772548320.9,4690500,33808832
1,2018-09-24 11:58:41,GOA,1984,32,Kodiak,1,100,Lower Cook Inlet,CENTRAL GOA,SHELF,10110,arrowtooth flounder,Atheresthes stomias,8,4,51.6,1181.26868512664,408.2,68623.9535708733,510.1,115469.481912291,0,1313.7,4036112,6708018645861.54,0,10161425
